"OriginalEnglish","Translation","Locations"
"Six Simple Steps - Welcome to Microsoft 365","Šest jednoduchých kroků – Vítejte v Microsoftu 365","/docs/learningpathways/v4/cs-cz/playlists.json;959166d8-1cb7-4315-af20-541598ebecaa;Title
"
"Get started with Teams","Začínáme s Teams","/docs/learningpathways/v4/cs-cz/playlists.json;bb92e79e-fe45-4f82-83ab-704b75bb6223;Title
"
"Create a chat-based workspace with Teams","Vytvoření pracovního prostoru založeného na chatu pomocí Teams","/docs/learningpathways/v4/cs-cz/playlists.json;31fe13c5-ec7d-4a3c-98db-89292b0c0824;Title
"
"Create impactful content together","Vytvářejte společně vlivný obsah","/docs/learningpathways/v4/cs-cz/playlists.json;fe736497-1a7c-4397-9963-17aab7e64557;Title
"
"Save and share files with OneDrive","Ukládání a sdílení souborů pomocí OneDrivu","/docs/learningpathways/v4/cs-cz/playlists.json;2ab5e51a-67b9-44af-9ca6-de681329f813;Title
"
"Share sites and content with SharePoint","Sdílení webů a obsahu se SharePointem","/docs/learningpathways/v4/cs-cz/playlists.json;a40ae370-557f-4a5b-9b17-3d14bbb6893e;Title
"
"Connect your organization with Yammer","Propojení vaší organizace s Yammerem","/docs/learningpathways/v4/cs-cz/playlists.json;1bb00cc3-21a5-432d-b535-4b970feb332c;Title
"
"Collaboration","Spolupráce","/docs/learningpathways/v4/cs-cz/playlists.json;a19e4916-4fbe-42e4-95b6-8e85cb12a47b;Title
/docs/learningpathways/v4/cs-cz/metadata.json;Subcategory;a7f1ca95-e0eb-4715-b846-89fc8d2afa56
"
"Run effective meetings","Spouštět efektivní schůzky","/docs/learningpathways/v4/cs-cz/playlists.json;19a310b9-b50c-44ae-96e2-b30f17a38528;Title
/docs/learningpathways/v4/cs-cz/assets.json;1a747a9c-dc47-480e-b3d7-1df74cbe2d29;Title
"
"Create inclusive meeting environments","Vytváření inkluzivních prostředí schůzek","/docs/learningpathways/v4/cs-cz/playlists.json;3cbbe474-ef4d-4154-aeb1-9a01d51764d4;Title
/docs/learningpathways/v4/cs-cz/assets.json;1a583551-1f93-4d71-bac1-5881d5f8b1e7;Title
"
"Asynchronous collaboration and co-authoring","Asynchronní spolupráce a spoluvytváření","/docs/learningpathways/v4/cs-cz/playlists.json;fdaae787-a991-40ae-ad83-87f05c8cf8ea;Title
"
"Reach large audiences with live events","Oslovte velké publikum živými událostmi","/docs/learningpathways/v4/cs-cz/playlists.json;6f3bbc71-627d-4427-9635-6aadd0a203f9;Title
"
"Stay well","Zůstaňte v pořádku","/docs/learningpathways/v4/cs-cz/playlists.json;285da770-2eb7-41ca-b403-c782ac69cd5d;Title
"
"Stay connected","Zůstaňte ve spojení","/docs/learningpathways/v4/cs-cz/playlists.json;21f572e7-98eb-49f3-9ff0-a9dc8eed583a;Title
/docs/learningpathways/v4/cs-cz/assets.json;26dc26c2-f0aa-46d6-a7ca-d41c95324789;Title
"
"Stay productive","Zůstaňte produktivní","/docs/learningpathways/v4/cs-cz/playlists.json;8bbe76ed-6ac6-41a4-a253-3dd680cc15ef;Title
"
"Use Microsoft 365 across your work and devices","Používání Microsoftu 365 napříč prací a zařízeními","/docs/learningpathways/v4/cs-cz/playlists.json;fa3a7737-b33d-4481-9b80-416d20b9ca9f;Title
"
"Use Microsoft 365 across your team","Používání Microsoftu 365 v celém týmu","/docs/learningpathways/v4/cs-cz/playlists.json;9647e1aa-63a1-48d1-aea9-b0913f0f1e0b;Title
"
"Use Microsoft 365 across your organization","Používání Microsoftu 365 v celé organizaci","/docs/learningpathways/v4/cs-cz/playlists.json;cb4effb6-f78e-444a-98b7-6274ad2fe70c;Title
"
"Day in your digital life with Office 365","Den v digitálním životě s Office 365","/docs/learningpathways/v4/cs-cz/playlists.json;1f5ec8e6-5fef-481a-ad87-59842c3d539b;Title
"
"Cybersecurity fundamentals","Základy kybernetické bezpečnosti","/docs/learningpathways/v4/cs-cz/playlists.json;e51271b2-b4c0-4038-aa97-e4498c953afe;Title
"
"Digital safety","Digitální bezpečnost","/docs/learningpathways/v4/cs-cz/playlists.json;72863bbc-46ae-41dc-885d-0edb0a8abaa4;Title
"
"Top threats","Hlavní hrozby","/docs/learningpathways/v4/cs-cz/playlists.json;5872570a-e8a6-4d84-8802-4dd053b4dabc;Title
"
"Work remotely with Microsoft 365","Pracujte na dálku s Microsoftem 365","/docs/learningpathways/v4/cs-cz/playlists.json;35f25052-fa93-4daf-8d2e-b29935a002d0;Title
"
"Best practices for collaborating with Microsoft 365","Doporučené postupy pro spolupráci s Microsoftem 365","/docs/learningpathways/v4/cs-cz/playlists.json;b7fa7e0e-2282-48d3-8010-3b28d5dc3d04;Title
"
"Access Quick Start","Přístup k rychlému startu","/docs/learningpathways/v4/cs-cz/playlists.json;d59b1053-3756-4d9f-82a8-0ac97b11529c;Title
"
"Intro to Access","Úvod k přístupu","/docs/learningpathways/v4/cs-cz/playlists.json;3c376578-f821-4184-9365-75011c163f68;Title
"
"Create an Access database","Vytvoření databáze aplikace Access","/docs/learningpathways/v4/cs-cz/playlists.json;e112c3e9-685f-41a0-abb5-718ee4f43bb5;Title
"
"Add tables","Přidání tabulek","/docs/learningpathways/v4/cs-cz/playlists.json;91128a67-3846-4a87-98c5-de91402260eb;Title
"
"Use relationships","Použití vztahů","/docs/learningpathways/v4/cs-cz/playlists.json;6649c605-0d13-4420-9282-3fa590c2fbc4;Title
"
"Add and edit data","Přidání a úprava dat","/docs/learningpathways/v4/cs-cz/playlists.json;56aba6b0-660b-4f8c-a7d8-9b1ad7593bb4;Title
"
"Manage data with queries","Správa dat pomocí dotazů","/docs/learningpathways/v4/cs-cz/playlists.json;b16495f6-4216-4eed-b208-7280a885ebbf;Title
"
"Create forms","Vytváření formulářů","/docs/learningpathways/v4/cs-cz/playlists.json;4eb4ff40-6b3f-45a7-ade9-f879a79e70f9;Title
"
"Create reports","Vytváření sestav","/docs/learningpathways/v4/cs-cz/playlists.json;8580d541-b2ba-4ae2-bd06-ec26ebc59485;Title
"
"Protect databases","Ochrana databází","/docs/learningpathways/v4/cs-cz/playlists.json;82c6b011-7190-412e-9d3e-6410eae0d752;Title
"
"Create Charts","Vytvoření grafů","/docs/learningpathways/v4/cs-cz/playlists.json;2aa461ea-18f5-47d4-a29c-e63fda70f75b;Title
"
"Microsoft 365 Accessibility Overview and Resources","Přehled přístupnosti a zdroje informací o přístupnosti Microsoftu 365","/docs/learningpathways/v4/cs-cz/playlists.json;fbf60a54-6a6c-4c6d-a121-c478f9531a98;Title
"
"Create more accessible email messages in Outlook","Vytváření přístupnějších e-mailových zpráv v Outlooku","/docs/learningpathways/v4/cs-cz/playlists.json;cf352e8f-caf6-4e52-86d5-ae218004e089;Title
"
"Create more accessible Word documents","Vytváření přístupnějších wordových dokumentů","/docs/learningpathways/v4/cs-cz/playlists.json;76253e80-b36d-479a-9267-e73f2b5a8600;Title
"
"Create more accessible Excel workbooks","Vytvoření přístupnějších excelových sešitů","/docs/learningpathways/v4/cs-cz/playlists.json;c4d3a610-6289-4979-b0b6-b679ef28c13b;Title
