"OriginalEnglish","Translation","Locations"
"Introduction to SharePoint","Bevezetés a SharePointba","/docs/sss/v4/hu-hu/playlists.json;55f5e633-845f-4022-86aa-476af175a9ab;Title
"
"Learn about SharePoint site types","További információ a SharePoint webhelytípusairól","/docs/sss/v4/hu-hu/playlists.json;2d57566c-3eb2-4e46-9f0c-7727e075902c;Title
"
"Learn about SharePoint lists and libraries","További információ SharePoint-listákról és -könyvtárakról","/docs/sss/v4/hu-hu/playlists.json;dfa8c1ef-d86e-46b9-a956-a62cca4d659f;Title
"
"Create and customize your site","Webhely létrehozása és testreszabása","/docs/sss/v4/hu-hu/playlists.json;89b78762-f538-4850-b4f1-f1e402bc836f;Title
"
"Use web parts to organize content","Weblapok használata tartalomszervezéshez","/docs/sss/v4/hu-hu/playlists.json;b92b3650-9648-4b8c-a429-978d3bdc509d;Title
"
"Share your site with others","Ossza meg webhelyét másokkal","/docs/sss/v4/hu-hu/playlists.json;a3a85097-39d1-404f-be39-3c41af827e34;Title
"
"Measure and maintain","Mérés és karbantartás","/docs/sss/v4/hu-hu/playlists.json;6181273c-2f16-487b-a28b-fb4862f69428;Title
"
"Make your site collaborative","A webhely együttműködésének lehetővé tétele","/docs/sss/v4/hu-hu/playlists.json;225da9d7-e8da-40fe-92e4-f7a3fceb2842;Title
"
"Make your site engaging","A webhely vonzóvá tétele","/docs/sss/v4/hu-hu/playlists.json;4c0af6a7-0d18-4fbf-a459-3533db7d5d35;Title
"
"Make your site personal","Tegye személyessé webhelyét","/docs/sss/v4/hu-hu/playlists.json;5d8de491-43a0-4773-943a-9a82a790aa39;Title
"
"Make your site mobile","A webhely mobilsá tétele","/docs/sss/v4/hu-hu/playlists.json;0c9c117e-aebc-48ed-9f9b-82a5c26464ab;Title
"
"Learn about permission and access","Tudnivalók az engedélyről és a hozzáférésről","/docs/sss/v4/hu-hu/playlists.json;e6930b5b-1992-4d23-8b0c-e64a937336cb;Title
"
"Use SharePoint lists and libraries","SharePoint-listák és -könyvtárak használata","/docs/sss/v4/hu-hu/playlists.json;70ca605b-67a7-448b-90d0-6b74768ec78f;Title
"
"Ways to work with SharePoint","A SharePointtal való munka módjai","/docs/sss/v4/hu-hu/playlists.json;55f5e633-845f-4022-86aa-476af175a9ab;Description
/docs/sss/v4/hu-hu/assets.json;d97dd190-397a-4037-86e8-9cb4d9beb358;Title
"
"Communicate with your immediate team or a broad audience","Kommunikáció közvetlen csapatával vagy széles közönségével","/docs/sss/v4/hu-hu/playlists.json;2d57566c-3eb2-4e46-9f0c-7727e075902c;Description
"
"Learn how to upload and organize files in SharePoint lists and  libraries","További információ a Fájlok feltöltése és rendszerezése SharePoint-listákba és -könyvtárakba","/docs/sss/v4/hu-hu/playlists.json;dfa8c1ef-d86e-46b9-a956-a62cca4d659f;Description
/docs/sss/v4/hu-hu/playlists.json;70ca605b-67a7-448b-90d0-6b74768ec78f;Description
"
"Customize the look, navigation, and resources available to viewers on your site","Testreszabhatja a webhely nézői számára elérhető megjelenést, navigációt és erőforrásokat","/docs/sss/v4/hu-hu/playlists.json;89b78762-f538-4850-b4f1-f1e402bc836f;Description
"
"Add text, images, video, and other web parts ","Szöveg, képek, videók és egyéb webhelyek hozzáadása ","/docs/sss/v4/hu-hu/playlists.json;b92b3650-9648-4b8c-a429-978d3bdc509d;Description
"
"Let viewers know about your new site by adding members ","Tagokkal tudathatja a nézőket az új webhelyével ","/docs/sss/v4/hu-hu/playlists.json;a3a85097-39d1-404f-be39-3c41af827e34;Description
"
"View site metrics and learn about site settings","Webhelymutatók megtekintése és a webhely beállításainak megismeréséről","/docs/sss/v4/hu-hu/playlists.json;6181273c-2f16-487b-a28b-fb4862f69428;Description
"
"See how SharePoint team sites work with Microsoft Teams","A SharePoint csapatwebhelyeinek a Microsoft Teamsszel való működésének megtekintése","/docs/sss/v4/hu-hu/playlists.json;225da9d7-e8da-40fe-92e4-f7a3fceb2842;Description
"
"Build community and culture by enhancing the viewing experience","Közösség és kultúra építése a vizuális élmény fokozásával","/docs/sss/v4/hu-hu/playlists.json;4c0af6a7-0d18-4fbf-a459-3533db7d5d35;Description
"
"Target pages, news, files, and menu links to specific audiences ","Céloldalak, hírek, fájlok és menühivatkozások adott célközönségekhez ","/docs/sss/v4/hu-hu/playlists.json;5d8de491-43a0-4773-943a-9a82a790aa39;Description
"
"Make your site mobile friendly and encourage viewers to download the SharePoint mobile app","Tegye mobilbaráttá webhelyét, és ösztönözze a nézőket a SharePoint mobilalkalmazás letöltésére","/docs/sss/v4/hu-hu/playlists.json;0c9c117e-aebc-48ed-9f9b-82a5c26464ab;Description
"
"Introduction to SharePoint permissions, sharing, and accessibility","Bevezetés a SharePoint-engedélyekbe, a megosztásba és a kisegítő lehetőségekbe","/docs/sss/v4/hu-hu/playlists.json;e6930b5b-1992-4d23-8b0c-e64a937336cb;Description
"
"Video: Create a team or communication site","Videó: Csapat vagy kommunikációs webhely létrehozása","/docs/sss/v4/hu-hu/assets.json;651cff1e-a1c8-4f9b-b026-9883141ce685;Title
"
"What is a SharePoint hub site?","Mi az a SharePoint hub webhely?","/docs/sss/v4/hu-hu/assets.json;cd4764b9-6005-4eb3-b414-8376983f3792;Title
"
"What is a document library?","Mi az a dokumentumtár?","/docs/sss/v4/hu-hu/assets.json;d59696be-04aa-4bba-a932-c5b0f9c18d97;Title
"
"Get started with Microsoft Lists","Első lépések a Microsoft-listákkal","/docs/sss/v4/hu-hu/assets.json;e9721652-7d13-4327-84ce-432a07697db4;Title
"
"Create a Communication site in SharePoint","Kommunikációs webhely létrehozása a SharePointban","/docs/sss/v4/hu-hu/assets.json;273a0341-123c-473e-a35a-241342b5977d;Title
"
"Create a Team site in SharePoint","Csapatoldal létrehozása a SharePointban","/docs/sss/v4/hu-hu/assets.json;69ee4906-8006-4f74-8b69-263881c1a240;Title
"
