"OriginalEnglish","Translation","Locations"
"Six Simple Steps - Welcome to Microsoft 365","Sześć prostych kroków — Witamy na platformie Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;959166d8-1cb7-4315-af20-541598ebecaa;Title
"
"Get started with Teams","Wprowadzenie do usługi Teams","/docs/learningpathways/v4/pl-pl/playlists.json;bb92e79e-fe45-4f82-83ab-704b75bb6223;Title
"
"Create a chat-based workspace with Teams","Tworzenie obszaru roboczego opartego na czacie w usłudze Teams","/docs/learningpathways/v4/pl-pl/playlists.json;31fe13c5-ec7d-4a3c-98db-89292b0c0824;Title
"
"Create impactful content together","Wspólnie twórz efektowne treści","/docs/learningpathways/v4/pl-pl/playlists.json;fe736497-1a7c-4397-9963-17aab7e64557;Title
"
"Save and share files with OneDrive","Zapisywanie i udostępnianie plików w usłudze OneDrive","/docs/learningpathways/v4/pl-pl/playlists.json;2ab5e51a-67b9-44af-9ca6-de681329f813;Title
"
"Share sites and content with SharePoint","Udostępnianie witryn i zawartości za pomocą programu SharePoint","/docs/learningpathways/v4/pl-pl/playlists.json;a40ae370-557f-4a5b-9b17-3d14bbb6893e;Title
"
"Connect your organization with Yammer","Łączenie organizacji z usługą Yammer","/docs/learningpathways/v4/pl-pl/playlists.json;1bb00cc3-21a5-432d-b535-4b970feb332c;Title
"
"Collaboration","Kolaboracja","/docs/learningpathways/v4/pl-pl/playlists.json;a19e4916-4fbe-42e4-95b6-8e85cb12a47b;Title
/docs/learningpathways/v4/pl-pl/metadata.json;Subcategory;a7f1ca95-e0eb-4715-b846-89fc8d2afa56
"
"Run effective meetings","Prowadzenia efektywnych spotkań","/docs/learningpathways/v4/pl-pl/playlists.json;19a310b9-b50c-44ae-96e2-b30f17a38528;Title
/docs/learningpathways/v4/pl-pl/assets.json;1a747a9c-dc47-480e-b3d7-1df74cbe2d29;Title
"
"Create inclusive meeting environments","Tworzenie integracyjnych środowisk spotkań","/docs/learningpathways/v4/pl-pl/playlists.json;3cbbe474-ef4d-4154-aeb1-9a01d51764d4;Title
/docs/learningpathways/v4/pl-pl/assets.json;1a583551-1f93-4d71-bac1-5881d5f8b1e7;Title
"
"Asynchronous collaboration and co-authoring","Współpraca asynchroniczna i współtworzenie","/docs/learningpathways/v4/pl-pl/playlists.json;fdaae787-a991-40ae-ad83-87f05c8cf8ea;Title
"
"Reach large audiences with live events","Dotrzyj do dużej liczby odbiorców dzięki wydarzeniom na żywo","/docs/learningpathways/v4/pl-pl/playlists.json;6f3bbc71-627d-4427-9635-6aadd0a203f9;Title
"
"Stay well","Bądź w dobrej szuki","/docs/learningpathways/v4/pl-pl/playlists.json;285da770-2eb7-41ca-b403-c782ac69cd5d;Title
"
"Stay connected","Pozostań w kontakcie","/docs/learningpathways/v4/pl-pl/playlists.json;21f572e7-98eb-49f3-9ff0-a9dc8eed583a;Title
/docs/learningpathways/v4/pl-pl/assets.json;26dc26c2-f0aa-46d6-a7ca-d41c95324789;Title
"
"Stay productive","Zachowaj produktywność","/docs/learningpathways/v4/pl-pl/playlists.json;8bbe76ed-6ac6-41a4-a253-3dd680cc15ef;Title
"
"Use Microsoft 365 across your work and devices","Używanie platformy Microsoft 365 w pracy i na różnych urządzeniach","/docs/learningpathways/v4/pl-pl/playlists.json;fa3a7737-b33d-4481-9b80-416d20b9ca9f;Title
"
"Use Microsoft 365 across your team","Używanie platformy Microsoft 365 w całym zespole","/docs/learningpathways/v4/pl-pl/playlists.json;9647e1aa-63a1-48d1-aea9-b0913f0f1e0b;Title
