"OriginalEnglish","Translation","Locations"
"Introduction to SharePoint","Introducere în SharePoint","/docs/sss/v4/ro-ro/playlists.json;55f5e633-845f-4022-86aa-476af175a9ab;Title
"
"Learn about SharePoint site types","Aflați despre tipurile de site-uri SharePoint","/docs/sss/v4/ro-ro/playlists.json;2d57566c-3eb2-4e46-9f0c-7727e075902c;Title
"
"Learn about SharePoint lists and libraries","Aflați despre listele și bibliotecile SharePoint","/docs/sss/v4/ro-ro/playlists.json;dfa8c1ef-d86e-46b9-a956-a62cca4d659f;Title
"
"Create and customize your site","Crearea și particularizarea site-ului","/docs/sss/v4/ro-ro/playlists.json;89b78762-f538-4850-b4f1-f1e402bc836f;Title
"
"Use web parts to organize content","Utilizarea părților web pentru a organiza conținutul","/docs/sss/v4/ro-ro/playlists.json;b92b3650-9648-4b8c-a429-978d3bdc509d;Title
"
"Share your site with others","Partajarea site-ului cu alte persoane","/docs/sss/v4/ro-ro/playlists.json;a3a85097-39d1-404f-be39-3c41af827e34;Title
"
"Measure and maintain","Măsurați și mențineți","/docs/sss/v4/ro-ro/playlists.json;6181273c-2f16-487b-a28b-fb4862f69428;Title
"
"Make your site collaborative","Faceți site-ul să colaboreze","/docs/sss/v4/ro-ro/playlists.json;225da9d7-e8da-40fe-92e4-f7a3fceb2842;Title
"
"Make your site engaging","Faceți site-ul captivant","/docs/sss/v4/ro-ro/playlists.json;4c0af6a7-0d18-4fbf-a459-3533db7d5d35;Title
"
"Make your site personal","Faceți-vă site-ul personal","/docs/sss/v4/ro-ro/playlists.json;5d8de491-43a0-4773-943a-9a82a790aa39;Title
"
"Make your site mobile","Faceți-vă site-ul mobil","/docs/sss/v4/ro-ro/playlists.json;0c9c117e-aebc-48ed-9f9b-82a5c26464ab;Title
"
"Learn about permission and access","Aflați mai multe despre permisiune și acces","/docs/sss/v4/ro-ro/playlists.json;e6930b5b-1992-4d23-8b0c-e64a937336cb;Title
"
"Use SharePoint lists and libraries","Utilizarea listelor și bibliotecilor SharePoint","/docs/sss/v4/ro-ro/playlists.json;70ca605b-67a7-448b-90d0-6b74768ec78f;Title
"
"Ways to work with SharePoint","Modalități de a lucra cu SharePoint","/docs/sss/v4/ro-ro/playlists.json;55f5e633-845f-4022-86aa-476af175a9ab;Description
/docs/sss/v4/ro-ro/assets.json;d97dd190-397a-4037-86e8-9cb4d9beb358;Title
"
