"OriginalEnglish","Translation","Locations"
"Six Simple Steps - Welcome to Microsoft 365","Šest jednoduchých kroků – vítá vás Microsoft 365",
"Get started with Teams","Začínáme s Teams",
"Create a chat-based workspace with Teams","Vytvoření pracovního prostoru založeného na chatu s Teams",
"Create impactful content together","Vytváření vlivného obsahu společně",
"Save and share files with OneDrive","Ukládání a sdílení souborů na OneDrivu",
"Share sites and content with SharePoint","Sdílení webů a obsahu pomocí SharePointu",
"Connect your organization with Yammer","Propojení organizace s Yammerem",
"Run effective meetings","Spouštění efektivních schůzek",
"Create inclusive meeting environments","Vytvoření inkluzivních prostředí pro schůzky",
"Asynchronous collaboration and co-authoring","Asynchronní spolupráce a spoluvytváření",
"Reach large audiences with live events","Oslovte velké publikum živými událostmi",
"Stay well","Zůstaňte v pořádku",
"Stay connected","Zůstaňte ve spojení",
"Stay productive","Zůstaňte produktivní",
"Use Microsoft 365 across your work and devices","Používání Microsoftu 365 na různých pracovních a zařízeních",
"Use Microsoft 365 across your team","Používání Microsoftu 365 v celém týmu",
"Use Microsoft 365 across your organization","Používání Microsoftu 365 v celé organizaci",
"Day in your digital life with Office 365","Den v digitálním životě s Office 365",
"Cybersecurity fundamentals","Základy kybernetické bezpečnosti",
"Digital safety","Digitální bezpečnost",
"Top threats","Hlavní hrozby",
"Work remotely with Microsoft 365","Vzdálená práce s Microsoftem 365",
"Best practices for collaborating with Microsoft 365","Doporučené postupy pro spolupráci s Microsoftem 365",
"Access Quick Start","Přístup k rychlému spuštění",
"Intro to Access","Úvod do přístupu",
"Create an Access database","Vytvoření databáze aplikace Access",
"Add tables","Přidání tabulek",
"Use relationships","Použití relací",
"Add and edit data","Přidání a úprava dat",
"Manage data with queries","Správa dat pomocí dotazů",
"Create forms","Vytváření formulářů",
"Create reports","Vytváření sestav",
"Protect databases","Ochrana databází",
"Create Charts","Vytváření grafů",
"Microsoft 365 Accessibility Overview and Resources","Přehled a zdroje informací o usnadnění přístupu k Microsoftu 365",
"Create more accessible email messages in Outlook","Vytváření přístupnějších e-mailových zpráv v Outlooku",
"Create more accessible Word documents","Vytvoření přístupnějších dokumentů aplikace Word",
"Create more accessible Excel workbooks","Vytváření přístupnějších excelových sešitů",
"Create more accessible slides in PowerPoint","Vytváření přístupnějších snímků v PowerPointu",
"Excel Quick Start","Rychlý start Excelu",
"Intro to Excel","Úvod do Excelu",
"Rows & columns","Řádky a sloupce",
"Cells","Buňky",
"Formatting","Formátování",
"Formulas & functions","Vzorce a funkce",
"Tables","Tabulky",
"Charts","Žebříčky",
"PivotTables","Kontingenční tabulky",
"Share and co-author","Sdílení a spoluautor",
"Common use of functions","Běžné používání funkcí",
"Linked data types","Propojené datové typy",
"Get started with Lists","Začínáme se seznamy",
"Microsoft 365 for business Quick Start","Rychlý start Microsoftu 365 pro firmy",
"Get started with Microsoft 365","Začínáme s Microsoftem 365",
"Create and save","Vytvořit a uložit",
"Share and collaborate","Sdílení a spolupráce",
"Work with Microsoft Teams","Práce s Microsoft Teams",
"Get the most out of Windows","Vysázte ze systému Windows co nejvíce",
"Work from anywhere","Pracujte odkudkoli",
"Cool Microsoft 365 features","Skvělé funkce Microsoftu 365",
"Forms Quick Start","Rychlý start formulářů",
"Create a form and view results","Vytvoření formuláře a zobrazení výsledků",
"Teams Quick Start","Rychlý start týmů",
"Intro to Microsoft Teams","Úvod do Microsoft Teams",
"Start chats and calls","Zahájení chatů a hovorů",
"Set up and customize your team","Nastavení a přizpůsobení týmu",
"Explore apps and tools","Prozkoumejte aplikace a nástroje",
"Collaborate in teams and channels","Spolupráce v týmech a kanálech",
"Work with posts and messages","Práce s příspěvky a zprávami",
"Upload and find files","Nahrávání a hledání souborů",
"Set up and attend live events","Nastavení a účast na živých akcích",
"Manage Meetings","Správa schůzek",
"Manage your activity feed","Správa informačního kanálu o aktivitách",
"Teams on the go","Týmy na cestách",
"Manage team schedules with Shifts","Správa týmových plánů pomocí směn",
"Walkie Talkie, Tasks, and Praise","Vysílačka, úkoly a chvála",
"Create approvals","Vytvoření schválení",
"Office for the web: Get started","Office pro web: Začínáme",
"Office for the web: Outlook for the web","Office pro web: Outlook pro web",
"Office for the web: Word for the web","Office pro web: Word pro web",
"Office for the Web: Excel for the Web","Office pro web: Excel pro web",
"Office for the web: PowerPoint for the web","Office pro web: PowerPoint pro web",
"Office for the web: Share your documents","Office pro web: Sdílení dokumentů",
"OneDrive QuickStart","Úvodní příručka OneDrivu",
"Intro to OneDrive (work or school)","Úvod na OneDrive (pracovní nebo školní)",
"Manage your files with OneDrive","Správa souborů pomocí OneDrivu",
"Share and Sync with OneDrive","Sdílení a synchronizace s OneDrivem",
"OneNote Quick Start","Rychlý start OneNotu",
"Intro to OneNote","Úvod do OneNotu",
"Take notes with OneNote","Posudky pomocí OneNotu",
"Format notes with OneNote","Formátování poznámek pomocí OneNotu",
"Draw and sketch with OneNote","Kreslení a skicování pomocí OneNotu",
"Stay organized with OneNote","Jak zůstat uspořádaný s OneNotem",
"Share and sync with OneNote","Sdílení a synchronizace s OneNotem",
"OneNote on mobile devices","OneNote na mobilních zařízeních",
"Outlook Quick Start","Rychlý start Outlooku",
"Set up and customize Outlook","Nastavení a přizpůsobení Outlooku",
"Create and send email","Vytvoření a odeslání e-mailu",
"Manage email","Správa e-mailu",
"Organize your inbox","Uspořádání doručené pošty",
"Contacts and tasks in Outlook","Kontakty a úkoly v Outlooku",
"Outlook Calendar","Kalendář Outlooku",
"Outlook mobile: Manage your inbox","Outlook Mobile: Správa doručené pošty",
"Outlook mobile: Manage your time","Outlook Mobile: Správa času",
"Outlook mobile: People and connections","Outlook Mobile: Lidé a připojení",
"Outlook mobile: Search and share","Outlook Mobile: Hledání a sdílení",
"Planner Quick Start","Rychlý start plánovače",
"Ideas for your board","Nápady pro vaši tabuli",
"Use Planner","Použít plánovač",
